,open,high,low,close,volume,value
2025-10-21 01:45:00,298.0,299.0,296.0,299.0,3968518.13954428,1177779202.1129117
2025-10-21 02:00:00,299.0,300.0,297.0,297.0,950338.48465316,283825178.6167022
2025-10-21 02:15:00,297.0,298.0,296.0,297.0,740995.09314334,220014783.27381575
2025-10-21 02:30:00,297.0,298.0,296.0,296.0,909030.09312567,269520084.2612508
2025-10-21 02:45:00,296.0,299.0,296.0,299.0,849084.18542571,253069516.59928653
2025-10-21 03:00:00,298.0,299.0,297.0,299.0,169476.57088478,50549479.80301758
2025-10-21 03:15:00,298.0,298.0,297.0,298.0,493038.40281765,146739361.69704288
2025-10-21 03:30:00,298.0,299.0,297.0,298.0,446334.57118875,132933758.73940894
2025-10-21 03:45:00,298.0,299.0,297.0,299.0,382169.47262152,113843447.05174309
2025-10-21 04:00:00,299.0,299.0,297.0,297.0,496552.82405598,147924379.43566373
2025-10-21 04:15:00,298.0,298.0,296.0,298.0,898409.7148826,266921042.57834062
2025-10-21 04:30:00,298.0,299.0,297.0,298.0,649681.64353875,193773505.04900587
2025-10-21 04:45:00,299.0,300.0,298.0,299.0,2184983.75097489,652780565.2535732
2025-10-21 05:00:00,298.0,300.0,297.0,299.0,2823226.9357784,841772821.0026325
2025-10-21 05:15:00,299.0,299.0,298.0,299.0,1021570.18590438,304651737.65666354
2025-10-21 05:30:00,299.0,299.0,298.0,299.0,815740.04579678,243138437.20150596
2025-10-21 05:45:00,299.0,300.0,298.0,299.0,3194516.36322869,955067048.2837838
2025-10-21 06:00:00,299.0,301.0,298.0,300.0,3425799.63346395,1027769120.664549
2025-10-21 06:15:00,299.0,299.0,298.0,299.0,1104762.31153273,330135977.67040914
2025-10-21 06:30:00,299.0,299.0,298.0,299.0,452380.92889996,134945705.65582755
2025-10-21 06:45:00,299.0,299.0,297.0,298.0,1107743.00405845,329720067.5644237
2025-10-21 07:00:00,298.0,300.0,297.0,299.0,1824706.98129693,544621709.8928604
2025-10-21 07:15:00,299.0,300.0,298.0,299.0,1590270.2606561,475858429.6273415
2025-10-21 07:30:00,299.0,300.0,298.0,300.0,3316003.23605985,993545605.6217747
2025-10-21 07:45:00,301.0,301.0,299.0,299.0,1376722.17059131,412960428.0174881
2025-10-21 08:00:00,299.0,300.0,299.0,299.0,1588432.67089483,475410005.20405895
2025-10-21 08:15:00,300.0,300.0,299.0,299.0,1105178.85092545,330888051.4056417
2025-10-21 08:30:00,299.0,300.0,299.0,300.0,593109.82059914,177532099.56674555
2025-10-21 08:45:00,300.0,300.0,299.0,300.0,803201.96379485,240556297.9128192
2025-10-21 09:00:00,300.0,300.0,298.0,299.0,2952644.44614395,882991868.6989532
2025-10-21 09:15:00,298.0,300.0,298.0,300.0,2561378.27318894,766317101.746312
2025-10-21 09:30:00,300.0,301.0,299.0,301.0,4095956.07260324,1228920353.0125148
2025-10-21 09:45:00,301.0,301.0,299.0,299.0,2788162.18952646,836058209.2053951
2025-10-21 10:00:00,299.0,300.0,298.0,298.0,5786386.28566799,1726367672.121052
2025-10-21 10:15:00,298.0,300.0,297.0,300.0,2745378.33670256,819399204.8732179
2025-10-21 10:30:00,299.0,300.0,298.0,298.0,1832962.1205497,547528456.1964272
2025-10-21 10:45:00,298.0,299.0,296.0,297.0,3711576.53583499,1104381810.2345455
2025-10-21 11:00:00,298.0,298.0,296.0,297.0,6051515.04391578,1794603387.5705583
2025-10-21 11:15:00,297.0,297.0,295.0,296.0,3092327.90279392,914888636.2370768
2025-10-21 11:30:00,295.0,297.0,295.0,297.0,2406790.91120265,712779532.3956394
2025-10-21 11:45:00,297.0,297.0,295.0,296.0,3608815.42895545,1068056546.7916083
2025-10-21 12:00:00,296.0,297.0,295.0,296.0,1733748.52117332,512602493.46744406
2025-10-21 12:15:00,296.0,297.0,296.0,296.0,1130871.27622617,335017114.0297894
2025-10-21 12:30:00,297.0,297.0,295.0,297.0,1827659.71689128,540817047.5336615
2025-10-21 12:45:00,296.0,296.0,294.0,295.0,4678090.54119541,1380284903.5277739
2025-10-21 13:00:00,295.0,296.0,292.0,294.0,12917726.82037794,3791082241.034702
2025-10-21 13:15:00,294.0,294.0,292.0,294.0,6518446.00692364,1909187946.0470498
2025-10-21 13:30:00,294.0,294.0,291.0,292.0,6820616.19623544,1990484357.1786175
2025-10-21 13:45:00,292.0,293.0,291.0,292.0,3892984.18889175,1135497523.2652833
2025-10-21 14:00:00,292.0,292.0,291.0,291.0,2719882.33622992,793272001.4597683
2025-10-21 14:15:00,291.0,293.0,291.0,293.0,4623899.53362319,1350073516.2333324
2025-10-21 14:30:00,293.0,293.0,292.0,292.0,1646428.99049416,481294045.21994555
2025-10-21 14:45:00,292.0,293.0,291.0,292.0,1591591.58312477,464247132.770071
2025-10-21 15:00:00,291.0,292.0,291.0,291.0,1313631.57643388,382870795.1493744
2025-10-21 15:15:00,291.0,294.0,291.0,293.0,3990973.48264739,1167932037.955541
2025-10-21 15:30:00,292.0,294.0,292.0,293.0,3780201.17626435,1107538150.0564096
