,open,high,low,close,volume,value
2021-10-15 09:00:00,159700.0,246050.0,159700.0,201000.0,5244848.05614664,1064748938318.5288
2021-10-16 09:00:00,201000.0,202900.0,192700.0,193450.0,697479.73671736,137066184348.11983
2021-10-17 09:00:00,193400.0,208050.0,192700.0,197400.0,1052538.27297835,211076016025.7218
2021-10-18 09:00:00,197400.0,201000.0,191750.0,194300.0,375165.69656359,73475106665.60185
2021-10-19 09:00:00,194300.0,195300.0,188550.0,190850.0,156503.29835124,30111628446.824352
2021-10-20 09:00:00,190850.0,215500.0,190050.0,214200.0,673790.70295806,137986460435.69067
2021-10-21 09:00:00,214400.0,236200.0,214150.0,235400.0,1889673.63755471,429068136731.64496
2021-10-22 09:00:00,235150.0,263800.0,230100.0,240700.0,2908292.02932902,725561260599.5306
2021-10-23 09:00:00,240600.0,252600.0,234800.0,241550.0,1007521.45340486,245979392936.41196
2021-10-24 09:00:00,241550.0,251550.0,229100.0,247150.0,758185.32665233,181566209349.48764
2021-10-25 09:00:00,247050.0,265600.0,242100.0,253900.0,1059527.20562227,269817829587.26193
2021-10-26 09:00:00,254050.0,259500.0,240050.0,242750.0,786690.71090998,196678966612.42026
2021-10-27 09:00:00,242650.0,248300.0,219750.0,226850.0,1271657.2589016,299528370423.4243
2021-10-28 09:00:00,226800.0,243450.0,221600.0,235700.0,765576.0420271,178105789391.05084
2021-10-29 09:00:00,236100.0,246950.0,234700.0,239900.0,509225.31674749,122264180589.96237
2021-10-30 09:00:00,240000.0,240250.0,223750.0,232000.0,453248.93461285,105538673611.35374
2021-10-31 09:00:00,232150.0,242300.0,222200.0,238350.0,560972.20259683,129180263658.59293
2021-11-01 09:00:00,239200.0,250100.0,235400.0,241950.0,522536.50698216,127051190723.54276
2021-11-02 09:00:00,241950.0,260550.0,238750.0,259000.0,402937.93199184,99068355038.82777
2021-11-03 09:00:00,259000.0,297000.0,252000.0,288850.0,924317.8192533,251866750320.9565
2021-11-04 09:00:00,288800.0,302000.0,280600.0,297700.0,570098.42960429,165302817503.42242
2021-11-05 09:00:00,297700.0,299000.0,280800.0,287500.0,332478.77387583,96132205800.63696
2021-11-06 09:00:00,287500.0,316250.0,285200.0,313700.0,640810.16750306,193527762824.64337
2021-11-07 09:00:00,313750.0,316600.0,299000.0,302100.0,543177.15755279,167155455213.89346
2021-11-08 09:00:00,302150.0,306600.0,292300.0,299900.0,744063.41136062,222102499223.80466
2021-11-09 09:00:00,299900.0,312500.0,286850.0,288750.0,759371.42017615,225512704937.13257
2021-11-10 09:00:00,288750.0,296950.0,274500.0,286150.0,658847.99014026,189324031886.7946
2021-11-11 09:00:00,286150.0,298600.0,281900.0,284800.0,458883.21698634,133643840280.28786
2021-11-12 09:00:00,284800.0,289150.0,272000.0,278500.0,616669.66101024,172143361751.97632
2021-11-13 09:00:00,278450.0,292500.0,273500.0,291750.0,562831.85454318,158331156446.57068
2021-11-14 09:00:00,291250.0,292050.0,281550.0,289400.0,254893.78044404,73231119264.52585
2021-11-15 09:00:00,289400.0,297000.0,286650.0,290250.0,314798.06095277,91894909098.73695
2021-11-16 09:00:00,290050.0,290400.0,270000.0,270150.0,545611.44484661,151511548271.57175
2021-11-17 09:00:00,270150.0,273200.0,258300.0,268000.0,533509.10981045,141426858588.9068
2021-11-18 09:00:00,268100.0,274400.0,238850.0,242600.0,779740.67651864,198527677541.3435
2021-11-19 09:00:00,242500.0,271450.0,236400.0,265900.0,597065.54574947,151237100647.11108
2021-11-20 09:00:00,265900.0,274900.0,256950.0,268700.0,353753.70893033,94358080812.03598
2021-11-21 09:00:00,268700.0,289700.0,261500.0,286650.0,327715.88830153,89999626221.08508
2021-11-22 09:00:00,286950.0,288000.0,267800.0,270450.0,346883.06523828,95512143906.43073
2021-11-23 09:00:00,270450.0,281650.0,264050.0,276100.0,316368.58809128,85737259865.15608
2021-11-24 09:00:00,276100.0,276750.0,251700.0,258300.0,439745.14939565,116255388544.78154
2021-11-25 09:00:00,258300.0,270550.0,253000.0,260650.0,651485.72480736,170563521873.02704
2021-11-26 09:00:00,260650.0,261500.0,240050.0,245050.0,448545.84701664,111884004151.52243
2021-11-27 09:00:00,245050.0,253000.0,242900.0,247500.0,168078.97350737,41894724982.28763
2021-11-28 09:00:00,247400.0,256000.0,236400.0,253300.0,262595.75884373,64001210093.47948
2021-11-29 09:00:00,253300.0,264650.0,251900.0,255150.0,223879.7034148,57597746227.85522
2021-11-30 09:00:00,255650.0,278000.0,250000.0,258350.0,626227.64045074,166105069390.7156
2021-12-01 09:00:00,258500.0,287950.0,258200.0,285350.0,562349.5591316,154470878634.16122
2021-12-02 09:00:00,285350.0,300450.0,275150.0,290550.0,606995.56393474,173483618982.29813
2021-12-03 09:00:00,290550.0,296550.0,264300.0,268950.0,439448.72792646,123718444929.70857
2021-12-04 09:00:00,268450.0,269600.0,214000.0,253600.0,1332764.8929494,330720231026.72845
2021-12-05 09:00:00,253500.0,260850.0,232000.0,246750.0,558437.26395343,137919476880.5504
2021-12-06 09:00:00,246800.0,248700.0,223800.0,241200.0,744807.21566232,174867407579.09393
2021-12-07 09:00:00,241250.0,252900.0,235250.0,237800.0,550679.64102919,134706813570.1398
2021-12-08 09:00:00,237850.0,242650.0,228150.0,239700.0,540264.84360544,127406184488.8621
2021-12-09 09:00:00,239750.0,241700.0,224000.0,225950.0,360163.9064617,83670936459.85582
2021-12-10 09:00:00,226000.0,230050.0,213700.0,213700.0,531867.53947077,117537716999.10541
2021-12-11 09:00:00,213700.0,216600.0,206100.0,214200.0,424051.6297647,89895758267.79936
2021-12-12 09:00:00,214250.0,219150.0,209300.0,214400.0,250732.16540159,53368103724.22923
2021-12-13 09:00:00,214400.0,214400.0,188950.0,195000.0,583831.90313481,117555148033.0433
2021-12-14 09:00:00,194950.0,201500.0,185150.0,199900.0,555023.90627384,107703774399.51147
2021-12-15 09:00:00,199850.0,228850.0,195600.0,223600.0,778205.85788071,163544417873.77417
2021-12-16 09:00:00,223600.0,235100.0,217050.0,221950.0,466858.54239716,105887798228.6073
2021-12-17 09:00:00,221950.0,227750.0,211350.0,221150.0,426824.35651969,94269121538.39432
2021-12-18 09:00:00,220750.0,228500.0,214850.0,227400.0,226285.20943356,50153867614.946884
2021-12-19 09:00:00,227050.0,234000.0,222850.0,224400.0,241167.86293123,55198988943.10898
2021-12-20 09:00:00,224350.0,225300.0,209650.0,214950.0,275202.74057488,59713041175.31681
2021-12-21 09:00:00,215000.0,224000.0,210700.0,220750.0,289467.58009837,63390127857.4803
2021-12-22 09:00:00,220600.0,229050.0,217700.0,219600.0,338272.6852611,75711991589.39969
2021-12-23 09:00:00,219550.0,233000.0,217300.0,229950.0,342697.75476515,76613293946.94925
2021-12-24 09:00:00,229950.0,239950.0,225450.0,232350.0,358394.98494763,83246499572.9639
2021-12-25 09:00:00,232300.0,238800.0,230100.0,233700.0,210999.1938859,49377570222.91528
2021-12-26 09:00:00,233650.0,243100.0,232350.0,239100.0,262982.17014372,62510550998.6912
2021-12-27 09:00:00,239400.0,245950.0,235250.0,237450.0,224398.15088929,54038107947.648636
2021-12-28 09:00:00,237400.0,237500.0,216450.0,217450.0,338422.95879455,77116881442.78862
2021-12-29 09:00:00,217450.0,220400.0,208700.0,209750.0,290493.44037773,62127743000.40654
2021-12-30 09:00:00,209750.0,214600.0,206050.0,209850.0,211335.63843736,44476995878.69781
2021-12-31 09:00:00,209700.0,215050.0,206500.0,208500.0,215150.38572771,45290510606.866234
2022-01-01 09:00:00,208500.0,217700.0,208400.0,217700.0,102727.99235086,21775807396.902744
2022-01-02 09:00:00,217500.0,218750.0,212600.0,214650.0,181009.81000857,38904062097.277145
2022-01-03 09:00:00,214650.0,214750.0,205000.0,207850.0,227280.71449051,47746825758.241516
2022-01-04 09:00:00,207800.0,211000.0,203000.0,204950.0,233417.70442786,48204930301.8798
2022-01-05 09:00:00,204950.0,207950.0,186300.0,194100.0,331842.10178028,66194221269.3978
2022-01-06 09:00:00,194100.0,197000.0,185500.0,191700.0,247736.77250444,46848922722.616005
2022-01-07 09:00:00,191750.0,191900.0,180000.0,180300.0,240318.52704945,44061458353.52912
2022-01-08 09:00:00,180300.0,187000.0,179000.0,181400.0,157050.80060609,28625212991.0571
2022-01-09 09:00:00,181150.0,184250.0,179000.0,180600.0,106501.54341646,19309303758.211502
2022-01-10 09:00:00,180600.0,182350.0,162950.0,172650.0,285846.29097434,49116712186.73412
