,open,high,low,close,volume,value
2025-10-21 01:45:00,3663.0,3683.0,3656.0,3679.0,621563.00685771,2277538118.8987556
2025-10-21 02:00:00,3678.0,3695.0,3677.0,3677.0,314919.2594697,1160549264.3537889
2025-10-21 02:15:00,3679.0,3686.0,3671.0,3676.0,149715.488221,550611367.2545823
2025-10-21 02:30:00,3676.0,3680.0,3665.0,3673.0,312625.8020971,1147270176.7318459
2025-10-21 02:45:00,3673.0,3699.0,3672.0,3697.0,500245.41590068,1847249348.8560152
2025-10-21 03:00:00,3697.0,3705.0,3694.0,3700.0,552051.24724358,2042628190.6787689
2025-10-21 03:15:00,3699.0,3704.0,3692.0,3704.0,169122.17316006,625329150.7840823
2025-10-21 03:30:00,3705.0,3710.0,3699.0,3709.0,300640.76296222,1113785249.1962283
2025-10-21 03:45:00,3709.0,3718.0,3705.0,3717.0,614524.75506159,2281879625.6994357
2025-10-21 04:00:00,3716.0,3727.0,3707.0,3727.0,1101096.90327105,4094763731.4767437
2025-10-21 04:15:00,3727.0,3728.0,3707.0,3720.0,422820.40275687,1571324376.6869218
2025-10-21 04:30:00,3720.0,3776.0,3720.0,3770.0,2864630.13703074,10747516499.639828
2025-10-21 04:45:00,3771.0,3816.0,3771.0,3774.0,4813504.28541822,18254812639.472126
2025-10-21 05:00:00,3774.0,3787.0,3752.0,3784.0,1737494.38633349,6540131349.698024
2025-10-21 05:15:00,3784.0,3795.0,3759.0,3764.0,1221229.22205138,4610472113.783938
2025-10-21 05:30:00,3764.0,3771.0,3750.0,3768.0,911246.39027757,3425383549.5579634
2025-10-21 05:45:00,3768.0,3791.0,3765.0,3788.0,964231.20736503,3644257526.745902
2025-10-21 06:00:00,3787.0,3788.0,3760.0,3761.0,952285.56604474,3592562486.580552
2025-10-21 06:15:00,3761.0,3764.0,3751.0,3756.0,835530.63044651,3137823018.153628
2025-10-21 06:30:00,3755.0,3760.0,3737.0,3740.0,1328830.64796402,4979642548.091511
2025-10-21 06:45:00,3740.0,3742.0,3729.0,3734.0,1130340.93658338,4221204011.21089
2025-10-21 07:00:00,3733.0,3741.0,3723.0,3740.0,1421894.91200495,5305899432.949098
2025-10-21 07:15:00,3739.0,3747.0,3727.0,3731.0,890232.07415707,3326941298.1926527
2025-10-21 07:30:00,3731.0,3750.0,3730.0,3748.0,782832.7812645,2929574223.8325567
2025-10-21 07:45:00,3747.0,3750.0,3741.0,3743.0,561153.52649931,2101588256.8634806
2025-10-21 08:00:00,3742.0,3743.0,3726.0,3732.0,996268.38174385,3719397545.068439
2025-10-21 08:15:00,3732.0,3734.0,3724.0,3734.0,570569.17061645,2127288230.1946943
2025-10-21 08:30:00,3733.0,3735.0,3727.0,3729.0,647901.86653696,2417804299.0731626
2025-10-21 08:45:00,3730.0,3745.0,3729.0,3740.0,540112.43047615,2017522619.1806378
2025-10-21 09:00:00,3740.0,3743.0,3725.0,3729.0,1215181.34336162,4536749767.531761
2025-10-21 09:15:00,3729.0,3740.0,3728.0,3737.0,678151.15626877,2532316393.266433
2025-10-21 09:30:00,3735.0,3740.0,3728.0,3738.0,945603.35913785,3531101271.554089
2025-10-21 09:45:00,3738.0,3739.0,3729.0,3729.0,590132.71574667,2203075167.297038
2025-10-21 10:00:00,3729.0,3730.0,3715.0,3718.0,1263230.12828343,4701677726.546948
2025-10-21 10:15:00,3718.0,3727.0,3717.0,3722.0,419561.95677639,1561163051.958921
2025-10-21 10:30:00,3723.0,3724.0,3712.0,3713.0,760445.37949466,2825430713.670497
2025-10-21 10:45:00,3713.0,3716.0,3703.0,3705.0,971565.99579343,3603046676.710383
2025-10-21 11:00:00,3705.0,3709.0,3693.0,3706.0,1828278.09136425,6762498966.673521
2025-10-21 11:15:00,3706.0,3707.0,3693.0,3699.0,818598.53276718,3027633174.341758
2025-10-21 11:30:00,3699.0,3707.0,3697.0,3698.0,682161.39766614,2525474376.545166
2025-10-21 11:45:00,3699.0,3699.0,3685.0,3686.0,1059995.71892328,3912595743.3462605
2025-10-21 12:00:00,3686.0,3694.0,3685.0,3687.0,836836.98966659,3086626202.992824
2025-10-21 12:15:00,3688.0,3700.0,3687.0,3693.0,543984.26882675,2008688254.6074936
2025-10-21 12:30:00,3693.0,3703.0,3690.0,3696.0,589217.62156548,2178649766.3725495
2025-10-21 12:45:00,3696.0,3696.0,3683.0,3686.0,844462.16185474,3114800358.4690533
2025-10-21 13:00:00,3686.0,3689.0,3659.0,3669.0,3824349.33930777,14044855744.629236
2025-10-21 13:15:00,3669.0,3684.0,3664.0,3684.0,1196042.4291917,4390946199.405034
2025-10-21 13:30:00,3684.0,3685.0,3655.0,3655.0,1645474.60907813,6029605170.269
2025-10-21 13:45:00,3656.0,3664.0,3651.0,3655.0,1411077.93369964,5157069040.272078
2025-10-21 14:00:00,3655.0,3668.0,3653.0,3665.0,1257542.66772308,4604328539.934832
2025-10-21 14:15:00,3665.0,3672.0,3655.0,3663.0,976815.40014014,3578142757.2324734
2025-10-21 14:30:00,3662.0,3674.0,3660.0,3663.0,841058.74362288,3082852132.1182566
2025-10-21 14:45:00,3663.0,3666.0,3652.0,3653.0,851971.59415296,3115972618.08226
2025-10-21 15:00:00,3653.0,3655.0,3637.0,3645.0,2216012.11283134,8078873891.724255
2025-10-21 15:15:00,3644.0,3675.0,3644.0,3672.0,1353818.41440803,4962816029.9615
2025-10-21 15:30:00,3672.0,3676.0,3665.0,3665.0,745971.41110855,2739067456.1356325
2025-10-21 15:45:00,3666.0,3675.0,3662.0,3670.0,572299.08475006,2099604581.318366
2025-10-21 16:00:00,3670.0,3671.0,3652.0,3652.0,799001.10323038,2923483342.381299
2025-10-21 16:15:00,3652.0,3672.0,3652.0,3670.0,686359.24166934,2515421698.44327
2025-10-21 16:30:00,3670.0,3676.0,3662.0,3663.0,653469.78625645,2397938722.761586
2025-10-21 16:45:00,3663.0,3666.0,3659.0,3665.0,513056.40997179,1879578979.0702274
2025-10-21 17:00:00,3665.0,3666.0,3645.0,3646.0,1013226.77620791,3702400966.4749303
